PATH,TYPE,VALUE,MTIME
/REGISTRY/MACHINE/Software/Caphyon/Advanced Installer/Webex/,NONE,%00%00%00%00,
/REGISTRY/MACHINE/Software/Caphyon/Advanced Installer/Webex/Args,SZ,,
/REGISTRY/MACHINE/Software/Caphyon/Advanced Installer/Webex/Package,SZ,Package_CiscoSystems.Webex,
/REGISTRY/MACHINE/Software/Caphyon/Advanced Installer/Webex/Path,SZ,[{AppVPackageRoot}]\Webex.exe,
/REGISTRY/MACHINE/Software/Caphyon/Advanced Installer/Webex/PathAi,SZ,[{AppVPackageRoot}]\Webex.exe,
/REGISTRY/MACHINE/Software/Caphyon/Advanced Installer/Webex/RunMode,SZ,1,
/REGISTRY/MACHINE/Software/Caphyon/Advanced Installer/Webex/WorkingDirectoryAi,SZ,[{AppVPackageRoot}]\,
/REGISTRY/MACHINE/Software/Caphyon/Advanced Installer/Webex/WorkingDirectorySys,SZ,[{AppVPackageRoot}]\,
/REGISTRY/MACHINE/Software/Caphyon/Advanced Installer/Webex/WorkingDirectoryUwp,SZ,[{AppVPackageRoot}]\,
/REGISTRY/MACHINE/Software/Cisco Systems,KEY,,2023-08-07 15:50:07
/REGISTRY/MACHINE/Software/Cisco Systems/Webex,KEY,,2023-08-07 15:50:07
/REGISTRY/MACHINE/Software/Cisco Systems/Webex/Path,SZ,[{AppVPackageRoot}]\,
/REGISTRY/MACHINE/Software/Cisco Systems/Webex/Version,SZ,2.10.1.26171,
